TEMA,FRASE,USADA,FECHA_USADA
DINERO,Poderoso caballero es don Dinero. – Francisco de Quevedo.,FALSE,
DINERO,El dinero es el estiércol del diablo; pero es un abono excelente. – Proverbio popular.,FALSE,
DINERO,"El dinero es una nueva forma de esclavitud, distinguible de la antigua solo por el hecho de que es impersonal. – León Tolstói.",FALSE,
DINERO,El dinero es la esencia alienada del trabajo y de la existencia del hombre. – Karl Marx.,FALSE,
DINERO,El dinero no es más que un valor de cambio; su único valor real es lo que se puede comprar con él. – Adam Smith.,FALSE,
DINERO,"El dinero es como el sexto sentido; sin él, no puedes usar los otros cinco. – Somerset Maugham.",FALSE,
DINERO,El dinero es un sol de bolsillo. – Victor Hugo.,FALSE,
DINERO,El dinero es el lenguaje universal. – Aphra Behn.,FALSE,
DINERO,La moneda es la libertad acuñada. – Fiódor Dostoyevski.,FALSE,
DINERO,El dinero es el dios de nuestro tiempo. – Friedrich Nietzsche.,FALSE,
DINERO,El dinero es el único poder al que todos se inclinan. – Ralph Waldo Emerson.,FALSE,
DINERO,"El capital es trabajo muerto que, al modo de un vampiro, vive solo de succionar trabajo vivo. – Karl Marx.",FALSE,
DINERO,El dinero es una garantía de que tendremos lo que queramos en el futuro. – Aristóteles.,FALSE,
DINERO,El oro hace que lo feo parezca hermoso. – Molière.,FALSE,
DINERO,El dinero es el gran nivelador. – Thomas Carlyle.,FALSE,
DINERO,Un banco es un lugar donde te prestan un paraguas cuando hace buen tiempo y te lo piden cuando empieza a llover. – Robert Frost.,FALSE,
DINERO,"El dinero es como el agua: si no corre, se estanca y se pudre. – Refrán anónimo.",TRUE,2026-03-09
DINERO,"El dinero no cambia a la gente, solo la desenmascara. – Henry Ford.",FALSE,
DINERO,El dinero habla un lenguaje que todas las naciones entienden. – Aphra Behn.,FALSE,
DINERO,"El dinero es un sirviente increíble, pero un amo terrible. – Francis Bacon.",TRUE,2026-03-09
DINERO,"La riqueza no consiste en tener grandes posesiones, sino en tener pocas necesidades. – Epicteto.",FALSE,
DINERO,"El sabio no ama la riqueza, pero prefiere tenerla. – Séneca.",FALSE,
DINERO,La riqueza es la esclava del sabio y la dueña del necio. – Séneca.,FALSE,
DINERO,Nada es suficiente para quien lo suficiente es poco. – Epicuro.,FALSE,
DINERO,El que es rico en amigos es pobre en nada. – Proverbio.,FALSE,
DINERO,"La pobreza no viene por la disminución de las riquezas, sino por la multiplicación de los deseos. – Platón.",FALSE,
DINERO,"Muchos hombres no poseen su riqueza, su riqueza los posee a ellos. – Robert G. Ingersoll.",FALSE,
DINERO,El hombre que tiene poco no es pobre; el que desea mucho es el verdadero pobre. – Séneca.,FALSE,
DINERO,La riqueza de un hombre se mide por la cantidad de cosas de las que puede prescindir. – Henry David Thoreau.,FALSE,
DINERO,"Si quieres ser rico, no te afanes en aumentar tus bienes, sino en disminuir tu codicia. – Epicuro.",TRUE,2026-03-09
DINERO,"La verdadera riqueza consiste en el uso, no en la posesión. – Esopo.",FALSE,
DINERO,El dinero es una de las cosas más baratas. Lo más caro es lo que no se puede comprar. – Proverbio oriental.,FALSE,
DINERO,¿Quién es rico? El que se regocija en su porción. – El Talmud.,FALSE,
DINERO,Un hombre es rico en proporción a las cosas que puede permitirse dejar en paz. – Thoreau.,FALSE,
DINERO,La riqueza es un gran estorbo para el aprendizaje. – Epicuro.,FALSE,
DINERO,"Es más fácil que un camello pase por el ojo de una aguja, que un rico entre en el reino de Dios. – Mateo 19:24.",FALSE,
DINERO,"La opulencia es un robo, si no se comparte. – Erasmo de Rotterdam.",FALSE,
DINERO,El desprecio de las riquezas era en los filósofos un deseo oculto de vengar su mérito del abandono de la fortuna. – François de La Rochefoucauld.,FALSE,
DINERO,"No estimes el dinero ni más ni menos de lo que vale, porque es un buen siervo y un mal amo. – Alejandro Dumas.",FALSE,
DINERO,"Aquel que cree que el dinero lo hace todo, termina haciendo todo por dinero. – Voltaire.",FALSE,
DINERO,"El dinero no da la felicidad, pero procura una sensación tan parecida, que solo un especialista muy avanzado podría verificar la diferencia. – Woody Allen.",FALSE,
DINERO,"La felicidad no consiste en tener mucho dinero, sino en tener lo que uno desea. – Aristóteles.",FALSE,
DINERO,El dinero es la felicidad humana en abstracto. – Arthur Schopenhauer.,FALSE,
DINERO,"Quien cree que el dinero no compra la felicidad, no sabe dónde ir de compras. – Gertrude Stein.",FALSE,
DINERO,Prefiero llorar en un Rolls Royce que ser feliz en una bicicleta. – Patrizia Reggiani.,FALSE,
DINERO,"El dinero no da la felicidad, pero calma los nervios. – Sean O'Casey.",FALSE,
DINERO,"La felicidad es una dirección, no un lugar. – Sydney J. Harris.",FALSE,
DINERO,"Tener dinero es como tener salud: su ausencia se nota, su presencia se olvida. – Anónimo.",FALSE,
DINERO,"El dinero compra el placer, pero no el amor. – Proverbio.",FALSE,
DINERO,Demasiado dinero es tan peligroso como la falta de él. – Proverbio.,FALSE,
DINERO,Hay gente tan pobre que solo tiene dinero. – Atribuido a Bob Marley.,FALSE,
DINERO,La falta de dinero es la raíz de todo mal. – Mark Twain (parodiando la Biblia).,FALSE,
DINERO,"Cuando el dinero habla, la verdad calla. – Proverbio chino.",FALSE,
DINERO,El dinero no compra la vida. – Bob Marley.,FALSE,
DINERO,El éxito es tener lo que quieres; la felicidad es querer lo que tienes. – Dale Carnegie.,FALSE,
